date,trend_name,google_score,category
2023-10-01,Airy Styles,0,Womenswear
2023-10-08,Airy Styles,0,Womenswear
2023-10-15,Airy Styles,0,Womenswear
2023-10-22,Airy Styles,0,Womenswear
2023-10-29,Airy Styles,0,Womenswear
2023-11-05,Airy Styles,0,Womenswear
2023-11-12,Airy Styles,0,Womenswear
2023-11-19,Airy Styles,0,Womenswear
2023-11-26,Airy Styles,0,Womenswear
2023-12-03,Airy Styles,0,Womenswear
2023-12-10,Airy Styles,0,Womenswear
2023-12-17,Airy Styles,0,Womenswear
2023-12-24,Airy Styles,0,Womenswear
2023-12-31,Airy Styles,0,Womenswear
2024-01-07,Airy Styles,0,Womenswear
2024-01-14,Airy Styles,0,Womenswear
2024-01-21,Airy Styles,0,Womenswear
2024-01-28,Airy Styles,0,Womenswear
2024-02-04,Airy Styles,0,Womenswear
2024-02-11,Airy Styles,0,Womenswear
2024-02-18,Airy Styles,0,Womenswear
2024-02-25,Airy Styles,0,Womenswear
2024-03-03,Airy Styles,0,Womenswear
2024-03-10,Airy Styles,0,Womenswear
2024-03-17,Airy Styles,0,Womenswear
2024-03-24,Airy Styles,0,Womenswear
2024-03-31,Airy Styles,0,Womenswear
2024-04-07,Airy Styles,0,Womenswear
2024-04-14,Airy Styles,0,Womenswear
2024-04-21,Airy Styles,0,Womenswear
2024-04-28,Airy Styles,0,Womenswear
2024-05-05,Airy Styles,0,Womenswear
2024-05-12,Airy Styles,0,Womenswear
2024-05-19,Airy Styles,0,Womenswear
2024-05-26,Airy Styles,0,Womenswear
2024-06-02,Airy Styles,0,Womenswear
2024-06-09,Airy Styles,0,Womenswear
2024-06-16,Airy Styles,0,Womenswear
2024-06-23,Airy Styles,0,Womenswear
2024-06-30,Airy Styles,0,Womenswear
2024-07-07,Airy Styles,0,Womenswear
2024-07-14,Airy Styles,0,Womenswear
2024-07-21,Airy Styles,0,Womenswear
2024-07-28,Airy Styles,0,Womenswear
2024-08-04,Airy Styles,0,Womenswear
2024-08-11,Airy Styles,0,Womenswear
2024-08-18,Airy Styles,0,Womenswear
2024-08-25,Airy Styles,0,Womenswear
2024-09-01,Airy Styles,0,Womenswear
2024-09-08,Airy Styles,0,Womenswear
2024-09-15,Airy Styles,0,Womenswear
2024-09-22,Airy Styles,0,Womenswear
2024-09-29,Airy Styles,0,Womenswear
2024-10-06,Airy Styles,0,Womenswear
2024-10-13,Airy Styles,0,Womenswear
2024-10-20,Airy Styles,0,Womenswear
2024-10-27,Airy Styles,0,Womenswear
2024-11-03,Airy Styles,0,Womenswear
2024-11-10,Airy Styles,0,Womenswear
2024-11-17,Airy Styles,0,Womenswear
2024-11-24,Airy Styles,0,Womenswear
2024-12-01,Airy Styles,0,Womenswear
2024-12-08,Airy Styles,0,Womenswear
2024-12-15,Airy Styles,0,Womenswear
2024-12-22,Airy Styles,0,Womenswear
2024-12-29,Airy Styles,0,Womenswear
2025-01-05,Airy Styles,0,Womenswear
2025-01-12,Airy Styles,0,Womenswear
2025-01-19,Airy Styles,0,Womenswear
2025-01-26,Airy Styles,0,Womenswear
2025-02-02,Airy Styles,0,Womenswear
2025-02-09,Airy Styles,0,Womenswear
2025-02-16,Airy Styles,0,Womenswear
2025-02-23,Airy Styles,0,Womenswear
2025-03-02,Airy Styles,0,Womenswear
2025-03-09,Airy Styles,0,Womenswear
2025-03-16,Airy Styles,0,Womenswear
2025-03-23,Airy Styles,0,Womenswear
2025-03-30,Airy Styles,0,Womenswear
2025-04-06,Airy Styles,0,Womenswear
2025-04-13,Airy Styles,0,Womenswear
2025-04-20,Airy Styles,0,Womenswear
2025-04-27,Airy Styles,0,Womenswear
2025-05-04,Airy Styles,0,Womenswear
2025-05-11,Airy Styles,0,Womenswear
2025-05-18,Airy Styles,0,Womenswear
2025-05-25,Airy Styles,0,Womenswear
2025-06-01,Airy Styles,0,Womenswear
2025-06-08,Airy Styles,0,Womenswear
2025-06-15,Airy Styles,0,Womenswear
2025-06-22,Airy Styles,0,Womenswear
2025-06-29,Airy Styles,0,Womenswear
2025-07-06,Airy Styles,100,Womenswear
2025-07-13,Airy Styles,0,Womenswear
2025-07-20,Airy Styles,0,Womenswear
2025-07-27,Airy Styles,0,Womenswear
2025-08-03,Airy Styles,0,Womenswear
2025-08-10,Airy Styles,0,Womenswear
2025-08-17,Airy Styles,0,Womenswear
2025-08-24,Airy Styles,0,Womenswear
2025-08-31,Airy Styles,0,Womenswear
2025-09-07,Airy Styles,0,Womenswear
2025-09-14,Airy Styles,0,Womenswear
2025-09-21,Airy Styles,0,Womenswear
2025-09-28,Airy Styles,0,Womenswear
2025-10-05,Airy Styles,0,Womenswear
2025-10-12,Airy Styles,0,Womenswear
2025-10-19,Airy Styles,0,Womenswear
2025-10-26,Airy Styles,0,Womenswear
2025-11-02,Airy Styles,0,Womenswear
2025-11-09,Airy Styles,0,Womenswear
2025-11-16,Airy Styles,0,Womenswear
2025-11-23,Airy Styles,0,Womenswear
2025-11-30,Airy Styles,0,Womenswear
2025-12-07,Airy Styles,0,Womenswear
2025-12-14,Airy Styles,0,Womenswear
2025-12-21,Airy Styles,0,Womenswear
2025-12-28,Airy Styles,0,Womenswear
2020-12-27,Romcom Core,0,Womenswear
2021-01-03,Romcom Core,0,Womenswear
2021-01-10,Romcom Core,0,Womenswear
2021-01-17,Romcom Core,0,Womenswear
2021-01-24,Romcom Core,0,Womenswear
2021-01-31,Romcom Core,0,Womenswear
2021-02-07,Romcom Core,0,Womenswear
2021-02-14,Romcom Core,0,Womenswear
2021-02-21,Romcom Core,0,Womenswear
2021-02-28,Romcom Core,0,Womenswear
2021-03-07,Romcom Core,0,Womenswear
2021-03-14,Romcom Core,0,Womenswear
2021-03-21,Romcom Core,0,Womenswear
2021-03-28,Romcom Core,0,Womenswear
2021-04-04,Romcom Core,0,Womenswear
2021-04-11,Romcom Core,0,Womenswear
2021-04-18,Romcom Core,0,Womenswear
2021-04-25,Romcom Core,0,Womenswear
2021-05-02,Romcom Core,0,Womenswear
2021-05-09,Romcom Core,0,Womenswear
2021-05-16,Romcom Core,0,Womenswear
2021-05-23,Romcom Core,0,Womenswear
2021-05-30,Romcom Core,0,Womenswear
2021-06-06,Romcom Core,0,Womenswear
2021-06-13,Romcom Core,0,Womenswear
2021-06-20,Romcom Core,0,Womenswear
2021-06-27,Romcom Core,0,Womenswear
2021-07-04,Romcom Core,0,Womenswear
2021-07-11,Romcom Core,0,Womenswear
2021-07-18,Romcom Core,0,Womenswear
2021-07-25,Romcom Core,0,Womenswear
2021-08-01,Romcom Core,0,Womenswear
2021-08-08,Romcom Core,0,Womenswear
2021-08-15,Romcom Core,0,Womenswear
2021-08-22,Romcom Core,0,Womenswear
2021-08-29,Romcom Core,0,Womenswear
2021-09-05,Romcom Core,0,Womenswear
2021-09-12,Romcom Core,0,Womenswear
2021-09-19,Romcom Core,0,Womenswear
2021-09-26,Romcom Core,0,Womenswear
2021-10-03,Romcom Core,0,Womenswear
2021-10-10,Romcom Core,0,Womenswear
2021-10-17,Romcom Core,0,Womenswear
2021-10-24,Romcom Core,0,Womenswear
2021-10-31,Romcom Core,0,Womenswear
2021-11-07,Romcom Core,0,Womenswear
2021-11-14,Romcom Core,0,Womenswear
2021-11-21,Romcom Core,0,Womenswear
2021-11-28,Romcom Core,0,Womenswear
2021-12-05,Romcom Core,0,Womenswear
2021-12-12,Romcom Core,0,Womenswear
2021-12-19,Romcom Core,0,Womenswear
2021-12-26,Romcom Core,0,Womenswear
2022-01-02,Romcom Core,0,Womenswear
2022-01-09,Romcom Core,0,Womenswear
2022-01-16,Romcom Core,0,Womenswear
2022-01-23,Romcom Core,0,Womenswear
2022-01-30,Romcom Core,0,Womenswear
2022-02-06,Romcom Core,0,Womenswear
2022-02-13,Romcom Core,0,Womenswear
2022-02-20,Romcom Core,0,Womenswear
2022-02-27,Romcom Core,0,Womenswear
2022-03-06,Romcom Core,0,Womenswear
2022-03-13,Romcom Core,0,Womenswear
2022-03-20,Romcom Core,0,Womenswear
2022-03-27,Romcom Core,0,Womenswear
2022-04-03,Romcom Core,0,Womenswear
2022-04-10,Romcom Core,0,Womenswear
2022-04-17,Romcom Core,0,Womenswear
2022-04-24,Romcom Core,0,Womenswear
2022-05-01,Romcom Core,0,Womenswear
2022-05-08,Romcom Core,0,Womenswear
2022-05-15,Romcom Core,0,Womenswear
2022-05-22,Romcom Core,0,Womenswear
2022-05-29,Romcom Core,0,Womenswear
2022-06-05,Romcom Core,0,Womenswear
2022-06-12,Romcom Core,0,Womenswear
2022-06-19,Romcom Core,0,Womenswear
2022-06-26,Romcom Core,0,Womenswear
2022-07-03,Romcom Core,0,Womenswear
2022-07-10,Romcom Core,0,Womenswear
2022-07-17,Romcom Core,0,Womenswear
2022-07-24,Romcom Core,0,Womenswear
2022-07-31,Romcom Core,0,Womenswear
2022-08-07,Romcom Core,0,Womenswear
2022-08-14,Romcom Core,0,Womenswear
2022-08-21,Romcom Core,0,Womenswear
2022-08-28,Romcom Core,0,Womenswear
2022-09-04,Romcom Core,0,Womenswear
2022-09-11,Romcom Core,0,Womenswear
2022-09-18,Romcom Core,0,Womenswear
2022-09-25,Romcom Core,0,Womenswear
2022-10-02,Romcom Core,0,Womenswear
2022-10-09,Romcom Core,0,Womenswear
2022-10-16,Romcom Core,0,Womenswear
2022-10-23,Romcom Core,0,Womenswear
2022-10-30,Romcom Core,0,Womenswear
2022-11-06,Romcom Core,0,Womenswear
2022-11-13,Romcom Core,0,Womenswear
2022-11-20,Romcom Core,0,Womenswear
2022-11-27,Romcom Core,0,Womenswear
2022-12-04,Romcom Core,0,Womenswear
2022-12-11,Romcom Core,0,Womenswear
2022-12-18,Romcom Core,0,Womenswear
2022-12-25,Romcom Core,0,Womenswear
2023-01-01,Romcom Core,0,Womenswear
2023-01-08,Romcom Core,0,Womenswear
2023-01-15,Romcom Core,0,Womenswear
2023-01-22,Romcom Core,0,Womenswear
2023-01-29,Romcom Core,0,Womenswear
2023-02-05,Romcom Core,0,Womenswear
2023-02-12,Romcom Core,0,Womenswear
2023-02-19,Romcom Core,0,Womenswear
2023-02-26,Romcom Core,0,Womenswear
2023-03-05,Romcom Core,0,Womenswear
2023-03-12,Romcom Core,0,Womenswear
2023-03-19,Romcom Core,0,Womenswear
2023-03-26,Romcom Core,0,Womenswear
2023-04-02,Romcom Core,0,Womenswear
2023-04-09,Romcom Core,0,Womenswear
2023-04-16,Romcom Core,0,Womenswear
2023-04-23,Romcom Core,0,Womenswear
2023-04-30,Romcom Core,0,Womenswear
2023-05-07,Romcom Core,0,Womenswear
2023-05-14,Romcom Core,0,Womenswear
2023-05-21,Romcom Core,0,Womenswear
2023-05-28,Romcom Core,0,Womenswear
2023-06-04,Romcom Core,0,Womenswear
2023-06-11,Romcom Core,0,Womenswear
2023-06-18,Romcom Core,0,Womenswear
2023-06-25,Romcom Core,0,Womenswear
2023-07-02,Romcom Core,0,Womenswear
2023-07-09,Romcom Core,0,Womenswear
2023-07-16,Romcom Core,0,Womenswear
2023-07-23,Romcom Core,0,Womenswear
2023-07-30,Romcom Core,0,Womenswear
2023-08-06,Romcom Core,0,Womenswear
2023-08-13,Romcom Core,0,Womenswear
2023-08-20,Romcom Core,0,Womenswear
2023-08-27,Romcom Core,0,Womenswear
2023-09-03,Romcom Core,68,Womenswear
2023-09-10,Romcom Core,0,Womenswear
2023-09-17,Romcom Core,0,Womenswear
2023-09-24,Romcom Core,0,Womenswear
2023-10-01,Romcom Core,0,Womenswear
2023-10-08,Romcom Core,0,Womenswear
2023-10-15,Romcom Core,0,Womenswear
2023-10-22,Romcom Core,0,Womenswear
2023-10-29,Romcom Core,0,Womenswear
2023-11-05,Romcom Core,0,Womenswear
2023-11-12,Romcom Core,0,Womenswear
2023-11-19,Romcom Core,69,Womenswear
2023-11-26,Romcom Core,0,Womenswear
2023-12-03,Romcom Core,0,Womenswear
2023-12-10,Romcom Core,0,Womenswear
2023-12-17,Romcom Core,0,Womenswear
2023-12-24,Romcom Core,0,Womenswear
2023-12-31,Romcom Core,0,Womenswear
2024-01-07,Romcom Core,0,Womenswear
2024-01-14,Romcom Core,0,Womenswear
2024-01-21,Romcom Core,0,Womenswear
2024-01-28,Romcom Core,0,Womenswear
2024-02-04,Romcom Core,0,Womenswear
2024-02-11,Romcom Core,0,Womenswear
2024-02-18,Romcom Core,0,Womenswear
2024-02-25,Romcom Core,0,Womenswear
2024-03-03,Romcom Core,0,Womenswear
2024-03-10,Romcom Core,0,Womenswear
2024-03-17,Romcom Core,0,Womenswear
2024-03-24,Romcom Core,0,Womenswear
2024-03-31,Romcom Core,0,Womenswear
2024-04-07,Romcom Core,0,Womenswear
2024-04-14,Romcom Core,0,Womenswear
2024-04-21,Romcom Core,0,Womenswear
2024-04-28,Romcom Core,0,Womenswear
2024-05-05,Romcom Core,0,Womenswear
2024-05-12,Romcom Core,0,Womenswear
2024-05-19,Romcom Core,0,Womenswear
2024-05-26,Romcom Core,0,Womenswear
2024-06-02,Romcom Core,0,Womenswear
2024-06-09,Romcom Core,0,Womenswear
2024-06-16,Romcom Core,0,Womenswear
2024-06-23,Romcom Core,0,Womenswear
2024-06-30,Romcom Core,0,Womenswear
2024-07-07,Romcom Core,0,Womenswear
2024-07-14,Romcom Core,0,Womenswear
2024-07-21,Romcom Core,0,Womenswear
2024-07-28,Romcom Core,0,Womenswear
2024-08-04,Romcom Core,0,Womenswear
2024-08-11,Romcom Core,0,Womenswear
2024-08-18,Romcom Core,79,Womenswear
2024-08-25,Romcom Core,0,Womenswear
2024-09-01,Romcom Core,0,Womenswear
2024-09-08,Romcom Core,0,Womenswear
2024-09-15,Romcom Core,0,Womenswear
2024-09-22,Romcom Core,0,Womenswear
2024-09-29,Romcom Core,0,Womenswear
2024-10-06,Romcom Core,0,Womenswear
2024-10-13,Romcom Core,0,Womenswear
2024-10-20,Romcom Core,0,Womenswear
2024-10-27,Romcom Core,0,Womenswear
2024-11-03,Romcom Core,0,Womenswear
2024-11-10,Romcom Core,0,Womenswear
2024-11-17,Romcom Core,0,Womenswear
2024-11-24,Romcom Core,0,Womenswear
2024-12-01,Romcom Core,0,Womenswear
2024-12-08,Romcom Core,0,Womenswear
2024-12-15,Romcom Core,0,Womenswear
2024-12-22,Romcom Core,0,Womenswear
2024-12-29,Romcom Core,0,Womenswear
2025-01-05,Romcom Core,0,Womenswear
2025-01-12,Romcom Core,0,Womenswear
